Date,Weight,BJJ,Other
2022-05-01,87,0,100
2022-05-02,87,0,30
2022-05-03,87,0,0
2022-05-04,87,0,0
2022-05-05,87,0,150
2022-05-06,87,0,80
2022-05-07,87,0,50
2022-05-08,87,0,130
2022-05-09,87,0,30
2022-05-10,87,0,150
2022-05-11,87,0,0
2022-05-12,87,0,90
2022-05-13,87,0,100
2022-05-19,87,0,30
2022-05-20,86,0,100
2022-06-08,84.8,0,30
2024-11-21,83.9,60,30,
2024-11-23,84.7,45,0
2024-11-25,84,0,50
2024-11-26,83.1,120,60
2024-11-27,83.4,60,30
2024-11-30,0,30,0
2024-12-02,0,0,50
2024-12-03,82.9,90,45
2024-12-04,83.3,60,30
2024-12-05,83.3,80,0
2024-12-06,83.8,0,40
2024-12-09,0,0,60
2024-12-10,83.4,45,30
2024-12-11,83.4,60,30
2024-12-12,84.1,60,0
2024-12-13,0,0,55
2024-12-16,0,0,50
2024-12-17,83.5,45,45
2024-12-18,83.4,45,45
2024-12-19,83.4,45,10
2024-12-22,83.4,0,40
2024-12-28,84.4,0,60
2024-12-30,85.4,0,20
2025-01-20,85.4,0,45
2025-01-22,85.4,0,45
2025-01-23,85.4,45,60
2025-01-24,85.4,0,45
2025-01-25,85.4,0,20
2025-01-26,85.4,0,20
2025-01-27,85.4,0,45
2025-01-28,85.4,90,45
2025-01-29,85.4,0,45
2025-02-01,85.4,0,30
2025-02-03,85.4,0,30
2025-02-05,85.4,0,30
2025-02-07,85.4,0,30
2025-02-09,85.4,0,30
2025-02-11,85.4,0,30
2025-02-13,85.4,0,30
2025-02-15,85.4,0,30
2025-02-17,85.4,0,30
2025-02-19,85.4,0,30
2025-02-21,85.4,0,20
2025-04-07,85.4,90,20
2025-04-09,85.4,90,20
2025-04-11,85.4,90,20
2025-04-14,85.4,150,20
2025-04-15,85.0,120,20
2025-04-17,84.5,120,20
2025-04-21,84.6,90,20
2025-04-23,84.7,0,30
2025-04-25,84.8,0,30
2025-04-27,84.9,0,30
2025-04-28,85.0,90,10
2025-04-30,84.6,0,60
2025-05-01,84.45,105,0
2025-05-04,84.45,0,75
2025-05-05,84.45,135,0
2025-05-06,84.45,90,0
2025-05-07,84.45,0,45
2025-05-08,85.0,120,40
